,train_size,train_acc,train_f1,test_acc,test_f1
42,77,1.0,1.0,0.14285714285714277,0.06930272108843541
43,78,1.0,1.0,0.14285714285714282,0.06814058956916103
44,79,1.0,1.0,0.1528571428571428,0.08080272108843538
45,80,1.0,1.0,0.14285714285714277,0.0690759637188209
46,81,1.0,1.0,0.14285714285714285,0.06411564625850341
47,82,1.0,1.0,0.1428571428571429,0.06564625850340136
48,83,1.0,1.0,0.1442857142857142,0.0693401360544218
49,84,1.0,1.0,0.1428571428571428,0.07112018140589567
50,85,0.988235294117647,0.9921568627450981,0.14571428571428574,0.06706802721088437
51,86,1.0,1.0,0.14571428571428577,0.07174943310657601
52,87,1.0,1.0,0.14428571428571427,0.06705102040816326
53,88,1.0,1.0,0.1471428571428572,0.06985034013605443
54,89,0.9888888888888888,0.9888888888888888,0.14285714285714277,0.06678004535147393
55,90,1.0,1.0,0.1442857142857143,0.06402380952380951
56,91,0.9894736842105263,0.9887719298245614,0.1442857142857143,0.06801020408163268
57,92,1.0,1.0,0.14285714285714285,0.06967006802721089
58,93,1.0,1.0,0.15000000000000005,0.07776984126984128
59,94,1.0,1.0,0.15000000000000002,0.07523469387755105
60,95,1.0,1.0,0.14428571428571427,0.06427891156462581
61,96,1.0,1.0,0.1514285714285714,0.0776802721088436
62,97,1.0,1.0,0.1528571428571429,0.08
63,98,0.99,0.99,0.14857142857142866,0.0697721088435374
64,99,1.0,1.0,0.1514285714285714,0.07595578231292517
65,100,1.0,1.0,0.1457142857142857,0.06956122448979597
66,101,1.0,1.0,0.1428571428571427,0.06924603174603174
67,102,1.0,1.0,0.1428571428571428,0.0641428571428572
68,103,1.0,1.0,0.14285714285714282,0.06907596371882088
69,104,1.0,1.0,0.14428571428571424,0.06714285714285717
70,105,1.0,1.0,0.14428571428571427,0.07003741496598641
71,106,1.0,1.0,0.14285714285714288,0.0685374149659865
72,107,1.0,1.0,0.1471428571428572,0.0702018140589569
73,108,1.0,1.0,0.14428571428571424,0.07511904761904764
74,109,1.0,1.0,0.1471428571428571,0.06567346938775513
75,110,1.0,1.0,0.14714285714285713,0.07221088435374147
76,111,1.0,1.0,0.14428571428571432,0.068530612244898
77,112,1.0,1.0,0.14571428571428577,0.07053061224489796
78,113,1.0,1.0,0.14571428571428566,0.06752721088435373
79,114,1.0,1.0,0.1457142857142856,0.06839455782312924
80,115,1.0,1.0,0.1442857142857142,0.07093877551020408
81,116,1.0,1.0,0.1457142857142857,0.06723129251700675
82,117,1.0,1.0,0.14428571428571435,0.07279365079365081
83,118,1.0,1.0,0.15714285714285706,0.0863707482993197
84,119,1.0,1.0,0.14571428571428574,0.07106575963718822
85,120,0.9916666666666667,0.9922222222222222,0.14428571428571427,0.06724943310657591
86,121,1.0,1.0,0.14714285714285721,0.06751020408163264
87,122,1.0,1.0,0.14285714285714293,0.064108843537415
88,123,1.0,1.0,0.15428571428571436,0.08486507936507938
89,124,1.0,1.0,0.14999999999999997,0.0791780045351474
90,125,1.0,1.0,0.14714285714285713,0.07031632653061225
91,126,1.0,1.0,0.15285714285714289,0.07882312925170068
92,127,1.0,1.0,0.14571428571428569,0.0679183673469388
93,128,1.0,1.0,0.15000000000000002,0.07423242630385488
94,129,1.0,1.0,0.14571428571428563,0.06779931972789108
